miejsce_zam_id;miejsce_zam
1;Aleksandrow Kujawski
;Aleksandrow Kujawski
;Aleksandrow Kujawski
2;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
3;Baborow
;Baborow
;Baborow
4;Barlinek
5;Barwinek
;Barwinek
6;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
7;Bezledy
;Bezledy
;Bezledy
;Bezledy
8;Biala Podlaska
;Biala Podlaska
;Biala Podlaska
9;Bialaszewo
;Bialaszewo
;Bialaszewo
10;Bialystok
;Bialystok
;Bialystok
;Bialystok
11;Bielsk Podlaski
;Bielsk Podlaski
;Bielsk Podlaski
12;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
13;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
14;Bozewo
;Bozewo
;Bozewo
15;Bransk
;Bransk
;Bransk
;Bransk
16;Brzeg Dolny
;Brzeg Dolny
17;Brzesko
;Brzesko
;Brzesko
;Brzesko
;Brzesko
;Brzesko
18;Bydgoszcz
;Bydgoszcz
;Bydgoszcz
19;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
20;Chalupki
;Chalupki
;Chalupki
;Chalupki
;Chalupki
;Chalupki
21;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
22;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
23;Chyzne
;Chyzne
;Chyzne
;Chyzne
;Chyzne
24;Ciechanow
;Ciechanow
;Ciechanow
;Ciechanow
;Ciechanow
25;Ciechocinek
;Ciechocinek
;Ciechocinek
;Ciechocinek
26;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
27;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
28;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
29;Daszyna
30;Debica
;Debica
;Debica
;Debica
31;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
32;Debowiec
;Debowiec
;Debowiec
;Debowiec
33;Debrzno
;Debrzno
;Debrzno
34;Dlugopole-Zdroj
;Dlugopole-Zdroj
;Dlugopole-Zdroj
;Dlugopole-Zdroj
35;Dobieszowice
;Dobieszowice
36;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
37;Dzierzoniow
;Dzierzoniow
38;Elblag
;Elblag
;Elblag
39;Elk
;Elk
;Elk
;Elk
;Elk
40;Gdansk
;Gdansk
;Gdansk
;Gdansk
41;Gdynia
;Gdynia
42;Gieblo
;Gieblo
;Gieblo
43;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
44;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
45;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
46;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
47;Gorki Male
;Gorki Male
;Gorki Male
;Gorki Male
;Gorki Male
48;Gorzow Wielkopolski
;Gorzow Wielkopolski
;Gorzow Wielkopolski
;Gorzow Wielkopolski
49;Gostyn
;Gostyn
;Gostyn
;Gostyn
50;Grudziadz
;Grudziadz
;Grudziadz
;Grudziadz
51;Gryfice
;Gryfice
;Gryfice
;Gryfice
;Gryfice
52;Gubin
;Gubin
;Gubin
53;Halinow
;Halinow
;Halinow
54;Hrebenne
;Hrebenne
;Hrebenne
55;Ilawa
;Ilawa
56;Inowroclaw
57;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
58;Izbica Kujawska
;Izbica Kujawska
59;Jakuszyce
60;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
61;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
62;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
63;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
64;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
65;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
66;Jelenia Gora
;Jelenia Gora
67;Jezewo
;Jezewo
;Jezewo
68;Jozefow
;Jozefow
69;Julianka
;Julianka
;Julianka
;Julianka
70;Kalisz
;Kalisz
71;Karniewo
;Karniewo
;Karniewo
72;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
73;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
74;Kepice
;Kepice
;Kepice
;Kepice
;Kepice
75;Kety
;Kety
;Kety
;Kety
76;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
;Kielce
77;Kleszczow
;Kleszczow
;Kleszczow
;Kleszczow
;Kleszczow
;Kleszczow
78;Klomnice
;Klomnice
;Klomnice
;Klomnice
;Klomnice
;Klomnice
;Klomnice
79;Kobylin
80;Kobylin-Borzymy
;Kobylin-Borzymy
;Kobylin-Borzymy
81;Kogutek
;Kogutek
;Kogutek
;Kogutek
;Kogutek
82;Kolbaskowo
;Kolbaskowo
83;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
;Koniakow
84;Konin
;Konin
;Konin
85;Koscian
;Koscian
;Koscian
;Koscian
86;Kostrzyn
87;Koszalin
;Koszalin
88;Krapkowice
;Krapkowice
;Krapkowice
;Krapkowice
;Krapkowice
89;Krasnik
;Krasnik
90;Krosno
;Krosno
;Krosno
;Krosno
;Krosno
;Krosno
91;Kruszwica
;Kruszwica
;Kruszwica
;Kruszwica
92;Krzeszowice
;Krzeszowice
;Krzeszowice
;Krzeszowice
;Krzeszowice
93;Krzyz Wielkopolski
94;Kudowa-Slone
95;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
;Kuznia Raciborska
96;Kuznica Bialostocka
;Kuznica Bialostocka
97;Lazy
;Lazy
98;Leczyca
;Leczyca
99;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
;Ledziny
100;Legionowo
;Legionowo
;Legionowo
101;Legnica
;Legnica
;Legnica
;Legnica
102;Leszno
;Leszno
;Leszno
103;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
;Limanowa
104;Lodz
105;Lomza
;Lomza
106;Lubaczow
;Lubaczow
;Lubaczow
;Lubaczow
107;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
;Lublin
108;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
;Lubliniec
109;Lwowek Slaski
;Lwowek Slaski
;Lwowek Slaski
110;Malbork
111;Medyka
;Medyka
;Medyka
112;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
;Miechow
113;Miedzyrzecz
114;Miedzyrzecze
;Miedzyrzecze
115;Mikolajki
;Mikolajki
;Mikolajki
;Mikolajki
116;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
;Mikolow
117;Mirow
118;Mlynarze
;Mlynarze
;Mlynarze
;Mlynarze
119;Monki
;Monki
120;Mordy
121;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
;Myslowice
122;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
;Myszkow
123;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
;Naleczow
124;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
;Nowy Sacz
125;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
;Nowy Targ
126;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
;Nysa
127;Oborniki
;Oborniki
;Oborniki
128;Ogrodniki
;Ogrodniki
;Ogrodniki
;Ogrodniki
129;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
;Ogrodzieniec
130;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
;Olkusz
131;Olsztyn
132;Olszyna
;Olszyna
133;Opole
;Opole
134;Ostroleka
135;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
;Oswiecim
136;Otmuchow
;Otmuchow
;Otmuchow
137;Piechowice
;Piechowice
;Piechowice
138;Pila
;Pila
139;Pilica
;Pilica
;Pilica
;Pilica
;Pilica
140;Piotrkow Trybunalski
;Piotrkow Trybunalski
;Piotrkow Trybunalski
;Piotrkow Trybunalski
141;Piwniczna-Zdroj
;Piwniczna-Zdroj
;Piwniczna-Zdroj
;Piwniczna-Zdroj
;Piwniczna-Zdroj
142;Plock
;Plock
;Plock
143;Poraj
;Poraj
;Poraj
144;Poznan
;Poznan
;Poznan
145;Prudnik
;Prudnik
;Prudnik
;Prudnik
;Prudnik
;Prudnik
;Prudnik
;Prudnik
146;Przasnysz
;Przasnysz
147;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
;Przemysl
148;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
;Pszczyna
149;Pulawy
;Pulawy
;Pulawy
;Pulawy
;Pulawy
150;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
;Pyrzowice
151;Pyrzyce
;Pyrzyce
;Pyrzyce
152;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
;Rabka
153;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
;Raciborz
154;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
;Radom
155;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
;Rajcza
156;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
;Rogoznik
157;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
;Ruda Slaska
158;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
;Rybnik
159;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
;Rzeszow
160;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
;Sanok
161;Siedlce
;Siedlce
;Siedlce
;Siedlce
162;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
;Siemianowice Slaskie
163;Sieradz
;Sieradz
164;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
;Siewierz
165;Skierniewice
;Skierniewice
;Skierniewice
166;Skorogoszcz
167;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
;Slawkow
168;Sobotka
169;Sopot
;Sopot
;Sopot
170;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
;Sosnicowice
171;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
;Sosnowiec
172;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
;Strzelce Opolskie
173;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
;Sucha Beskidzka
174;Suraz
;Suraz
175;Suwalki
;Suwalki
176;Swiecko
;Swiecko
;Swiecko
177;Swieradow-Zdroj
;Swieradow-Zdroj
;Swieradow-Zdroj
178;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
;Swietochlowice
179;Swinoujscie
;Swinoujscie
;Swinoujscie
180;Szamotuly
;Szamotuly
;Szamotuly
181;Szczecin
;Szczecin
182;Szczecinek
;Szczecinek
183;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
;Szczekociny
184;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
;Szczyrk
185;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
;Tarnobrzeg
186;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
;Tarnow
187;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
;Tarnowskie Gory
188;Terespol
;Terespol
;Terespol
;Terespol
;Terespol
189;Tomaszow Lubelski
;Tomaszow Lubelski
;Tomaszow Lubelski
;Tomaszow Lubelski
;Tomaszow Lubelski
190;Torun
;Torun
;Torun
191;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
;Trzebinia
192;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
;Tworog
193;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
;Tychy
194;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
;Ustron
195;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
;Wadowice
196;Wagrowiec
197;Walbrzych
;Walbrzych
;Walbrzych
;Walbrzych
198;Walce
;Walce
;Walce
;Walce
199;Warszawa
;Warszawa
;Warszawa
;Warszawa
;Warszawa
;Warszawa
;Warszawa
200;Wegorzewo
;Wegorzewo
201;Wejherowo
;Wejherowo
;Wejherowo
202;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
;Wisla
203;Witonia
;Witonia
;Witonia
204;Wloclawek
205;Wlodowice
;Wlodowice
;Wlodowice
206;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
;Wodzislaw Slaski
207;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
;Wojkowice
208;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
;Wolbrom
209;Wroclaw
;Wroclaw
;Wroclaw
;Wroclaw
;Wroclaw
;Wroclaw
;Wroclaw
;Wroclaw
210;Zabrodzie
;Zabrodzie
;Zabrodzie
211;Zabrze
;Zabrze
;Zabrze
;Zabrze
;Zabrze
;Zabrze
;Zabrze
;Zabrze
;Zabrze
212;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
;Zakopane
213;Zambrow
;Zambrow
;Zambrow
214;Zamosc
;Zamosc
;Zamosc
;Zamosc
;Zamosc
;Zamosc
;Zamosc
;Zamosc
;Zamosc
215;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
;Zawiercie
216;Zgorzelec
;Zgorzelec
;Zgorzelec
;Zgorzelec
217;Zielona Gora
;Zielona Gora
218;Zory
;Zory
;Zory
;Zory
;Zory
;Zory
;Zory
;Zory
;Zory
219;Zyrardow
;Zyrardow
220;Zywiec
;Zywiec
;Zywiec
;Zywiec
;Zywiec
;Zywiec
;Zywiec
;Zywiec
